ticker,name,companyCode,companyName,custodianCode,custodianName,indexTicker,indexName,indexStartDate,managerNames,establishDate,assetal,assetalName,manage,manageName,organizationform,organizationformName,investarea,investareaName,exchangemarket,exchangemarketName,assetalNet,nav,navUnit,navChange,navChange1w,navChange1m,navChange3m,navChange6m,navChange9m,navChangeYtd,navChange1y,navAnnualReturns2y,navAnnualReturns3y,navAnnualReturns5y,navAnnualReturns10y,navBeta3mJSW001,navBeta6mJSW001,navBeta9mJSW001,navBeta1yJSW001,navBeta2yJSW001,navBeta3yJSW001,navBeta5yJSW001,navBeta10yJSW001,navBeta15yJSW001,navBetaYtdJSW001,navBetaAllJSW001,navBeta2007JSW001,navBeta2015JSW001,trackingError,navBeta2008JSW001,navBeta2016JSW001,tradeAmount,tradeAmount3,tradeAmount5,tradeAmount10,tradeAmount30,pctOfFloat,pctOfStock,stkShares,isEnd,managerRatio,custodianRatio,salesRatio,totalFee,indexUsageRatio,pctOfNav
517060,华宝沪港深500ETF,80000250,华宝基金,80001122,中国银行,'H30455,沪港深500,2021-03-05,{'30112517': '蒋俊阳'},2021-03-05,Stock,股票,Index,传统指数型,ETF,ETF,Domestic,投资境内,SHSE,上交所上市,0.26,0.9398,人民币,0.79,-0.38,0.87,-6.76,-5.89,--,--,--,--,--,--,--,0.95,0.94,--,--,--,--,--,--,--,--,0.89,--,--,0.14,--,--,560220.00,455406.67,322808.20,337179.50,418596.13,--,--,--,False,0.50,0.10,--,0.60,--,--
517170,华夏沪港深ETF,80000222,华夏基金,80001122,中国银行,'H30455,沪港深500,2021-04-07,{'30214753': '徐猛'},2021-04-07,Stock,股票,Index,传统指数型,ETF,ETF,Domestic,投资境内,SHSE,上交所上市,0.52,0.9559,人民币,0.84,-0.28,1.06,-5.26,-5.69,--,--,--,--,--,--,--,1.01,0.96,--,--,--,--,--,--,--,--,0.96,--,--,0.09,--,--,657103.00,902584.00,995532.40,856974.00,1502701.83,--,--,--,False,0.50,0.10,--,0.60,--,--
012275,富国500ETF联接A,80000221,富国基金,80001122,中国银行,'H30455,沪港深500,2021-07-14,{'30072302': '张圣贤'},2021-07-14,Stock,股票,Index,传统指数型,ETFFeeder,ETF联接,Domestic,投资境内,Unlisted,未上市,3.29,0.9954,人民币,0.98,-0.19,1.11,-1.49,--,--,--,--,--,--,--,--,0.14,--,--,--,--,--,--,--,--,--,0.14,--,--,1.2,--,--,0.00,--,--,--,--,--,--,--,False,0.50,0.10,--,0.60,--,--
517100,富国AH500ETF,80000221,富国基金,80001122,中国银行,'H30455,沪港深500,2021-02-09,{'30072302': '张圣贤'},2021-02-09,Stock,股票,Index,传统指数型,ETF,ETF,Domestic,投资境内,SHSE,上交所上市,5.39,0.9045,人民币,0.89,-0.2,1.19,-5.05,-2.84,--,--,--,--,--,--,--,1.05,1.0,--,--,--,--,--,--,--,--,1.0,--,--,0.1,--,--,4594825.00,3720426.67,3232427.00,3182930.90,4189149.97,--,--,--,False,0.50,0.10,--,0.60,--,--
517080,添富HGS500ETF,80053708,汇添富,80001067,工商银行,'H30455,沪港深500,2021-02-01,{'30529631': '董瑾'},2021-02-01,Stock,股票,Index,传统指数型,ETF,ETF,Domestic,投资境内,SHSE,上交所上市,7.59,0.9005,人民币,0.84,-0.26,1.11,-5.28,-3.58,--,--,--,--,--,--,--,0.99,0.98,--,--,--,--,--,--,--,--,1.01,--,--,0.09,--,--,14496089.00,11925692.33,11085216.40,10940674.00,12811977.00,--,--,--,False,0.15,0.05,--,0.20,--,--
517000,银华沪港深500ETF,80000235,银华基金,10000020,招商银行,'H30455,沪港深500,2021-02-04,"{'30531104': '李宜璇', '30598400': '王帅'}",2021-02-04,Stock,股票,Index,传统指数型,ETF,ETF,Domestic,投资境内,SHSE,上交所上市,8.41,0.898,人民币,0.84,-0.19,1.07,-5.12,-3.66,--,--,--,--,--,--,--,1.01,0.99,--,--,--,--,--,--,--,--,0.84,--,--,0.08,--,--,16535810.00,11435825.33,8145719.60,7591560.60,8709789.73,--,--,--,False,0.50,0.10,--,0.60,--,--
001015,华夏300指数A,80000222,华夏基金,80001120,农业银行,'399300,沪深300,2015-02-10,"{'30457123': '宋洋', '30318535': '袁英杰'}",2015-02-10,Stock,股票,EnhancedIndex,增强指数型,OpenEnded,传统开放式,Domestic,投资境内,Unlisted,未上市,13.83,2.101,人民币,1.03,-1.33,0.43,-2.99,3.59,-4.63,1.71,9.19,19.69,22.7,12.33,--,0.99,1.2,1.26,1.21,1.21,1.01,0.97,--,--,1.28,0.91,--,0.9,0.2,--,0.96,0.00,--,--,--,--,--,--,--,False,1.00,0.20,--,1.22,0.02,--
000176,嘉实300增强,80000223,嘉实基金,80001068,建设银行,'399300,沪深300,2014-12-26,"{'30498586': '龙昌伦', '30054195': '刘斌'}",2014-12-26,Stock,股票,EnhancedIndex,增强指数型,OpenEnded,传统开放式,Domestic,投资境内,Unlisted,未上市,24.74,1.9202,人民币,1.0,-1.31,-1.41,-5.21,-0.65,-8.55,-3.03,4.03,16.5,21.35,12.32,--,1.13,1.24,1.19,1.15,1.26,1.03,0.98,--,--,1.2,0.87,--,0.9,0.24,--,0.95,0.00,--,--,--,--,--,--,--,False,1.00,0.18,--,1.20,0.02,--
000961,天弘300联接A,80041198,天弘基金,80000012,招商证券,'399300,沪深300,2015-01-20,{'30540129': '陈瑶'},2015-01-20,Stock,股票,Index,传统指数型,ETFFeeder,ETF联接,Domestic,投资境内,Unlisted,未上市,73.47,1.5769,人民币,0.94,-1.17,0.34,-3.56,0.08,-9.23,-4.13,4.01,14.74,19.31,9.95,--,0.96,1.12,1.17,1.14,1.14,0.99,0.95,--,--,1.17,0.87,--,0.9,0.07,--,0.93,0.00,--,--,--,--,--,--,--,False,0.50,0.10,--,0.60,--,--
004788,富荣沪深300指数A,80512737,富荣基金,10000020,招商银行,'000300,沪深300,2019-01-24,"{'30546495': '邓宇翔', '30667867': '郎骋成'}",2018-02-11,Stock,股票,EnhancedIndex,增强指数型,OpenEnded,传统开放式,Domestic,投资境内,Unlisted,未上市,16.41,2.0862,人民币,1.18,-0.28,3.05,0.3,7.83,2.54,6.46,19.8,44.8,38.58,--,--,1.06,1.07,1.2,1.17,1.27,0.94,--,--,--,1.2,0.93,--,--,0.38,--,--,0.00,--,--,--,--,--,--,--,False,0.60,0.10,--,0.72,0.02,--
